CIK,Company,Type,Date,Period of Report,SIC,State of Inc,State,Fiscal Year End,Basename,gvkey,sich,insbnk,understatement,option,Misstatement_BAO,act,ap,at,ceq,che,cogs,csho,dlc,dltis,dltt,dp,ib,invt,ivao,ivst,lct,lt,ni,ppegt,pstk,re,rect,sale,sstk,txp,txt,xint,prcc_f,dch_wc,ch_rsst,dch_rec,dch_inv,soft_assets,ch_cs,ch_cm,ch_roa,issue,bm,dpi,reoa,EBIT,ch_fcf,Misstatement_AA,Misstatement,restatement_year
812900,SAKS INC,10-K,2011-03-18,2011-01-29,5311.0,TN,TN,129.0,812900_2011,13380,5311.0,0.0,0.0,0.0,0,1085.674,115.893,2128.465,1206.784,200.176,1785.419,160.043,7.472,0.0,367.962,118.54,74.79,721.887,0.0,0.0,396.712,921.681,74.79,2003.48,0.0,-105.411,0.0,3013.593,0.516,0.0,27.094,48.115,9.98,-0.015093297,0.019154104,0.0,0.023646603,0.494656008,0.081790688,0.003262145,0.012653402,1.0,0.755548449,0.986342811,-0.049524423,0.070472853,-0.006327892,0,0,
813298,CASUAL MALE RETAIL GROUP INC,10-K,2011-03-18,2011-01-29,5651.0,DE,DE,131.0,813298_2011,13381,5651.0,0.0,0.0,0.0,0,133.407,24.657,233.721,154.358,10.353,213.828,48.482,0.0,0.0,0.0,12.551,42.663,104.167,0.0,0.0,54.906,79.363,42.663,133.275,0.0,-51.664,3.627,397.655,0.593,0.0,-50.078,0.556,3.16,0.041836602,0.175556164,4.32e-05,0.054177655,0.7591744,0.013064369,0.006239634,0.120409164,1.0,1.007538228,1.180163638,-0.221049884,-0.029346956,-0.044449889,0,0,
813619,SOUTHWALL TECHNOLOGIES INC /DE/,10-K,2011-03-29,2010-12-31,3081.0,DE,DE,314.0,813619_2010,13409,3081.0,0.0,0.0,0.0,0,29.132,2.628,50.59,32.026,13.776,22.149,28.995,1.024,1.25,3.511,2.813,10.131,5.536,0.0,0.0,10.158,13.781,10.131,45.321,4.81,-46.762,5.902,45.017,0.273,0.157,-3.678,0.304,2.05,0.041898973,0.186835901,-0.000111731,0.022658965,0.426546748,0.505500752,0.178418325,0.077719311,1.0,0.53879769,0.980384016,-0.924332872,0.133563945,-0.087015788,0,0,
813621,AMCOL INTERNATIONAL CORP,10-K,2011-03-01,2010-12-31,1400.0,DE,DE,1231.0,813621_2010,14182,1400.0,0.0,0.0,0.0,0,361.564,53.167,799.093,398.574,27.262,593.102,31.247,0.634,1228.952,236.171,36.306,30.347,107.515,14.168,0.0,112.475,398.657,30.347,517.377,0.0,312.125,202.442,852.538,5.346,0.0,18.656,9.725,31.0,0.05991184,0.027483561,0.067500439,0.014793723,0.639904241,0.062549178,-0.231619104,-0.007480027,1.0,0.411470727,1.078529951,0.390599092,0.073493323,-0.033290443,0,0,
81362,QUAKER CHEMICAL CORP,10-K,2011-03-02,2010-12-31,2990.0,PA,PA,1231.0,81362_2010,8850,2990.0,0.0,0.0,0.0,0,215.482,61.192,449.43,180.378,25.766,340.419,11.492,0.89,9.841,73.855,10.855,31.807,60.841,0.0,0.0,101.191,262.331,31.807,205.359,0.0,130.611,116.266,544.063,5.5,1.693,12.616,5.225,41.67,0.04046463,0.074966299,0.017627058,0.025477031,0.772376121,0.215657489,0.19595705,0.033642967,1.0,0.376672964,1.093968034,0.290614779,0.110468816,-0.038200214,0,0,
813672,CADENCE DESIGN SYSTEMS INC,10-K,2012-02-24,2011-12-31,7372.0,DE,DE,1229.0,813672_2011,13421,7372.0,0.0,0.0,0.0,0,1063.983,3.231,1761.269,411.13,604.639,129.376,272.68,294.061,0.0,131.92,82.316,72.229,43.243,17.528,3.037,1015.366,1350.139,72.229,921.507,0.0,-1032.292,138.522,1149.835,19.714,6.488,23.197,43.125,10.4,-0.011550402,0.049843347,-0.044410221,0.002409697,0.507652721,0.33342821,-0.023647911,-0.039176262,1.0,0.144974809,0.940195021,-0.586106949,0.07866544,-0.080935826,0,0,
813779,CRIMSON EXPLORATION INC.,10-K,2011-03-18,2010-12-31,1311.0,,,1231.0,813779_2010,25745,1311.0,0.0,0.0,0.0,0,27.562,30.796,412.687,183.531,0.0,21.536,44.857,0.0,265.783,172.013,66.803,-30.845,0.0,0.0,0.0,47.37,229.156,-30.845,593.594,0.0,-57.507,14.226,96.542,29.968,0.0,-16.607,24.736,4.26,-0.026992529,0.001311059,-0.001306283,0.0,0.079093841,-0.18243596,-0.314802735,-0.000888559,1.0,0.960438602,0.798554808,-0.139347738,-0.055044138,0.006390516,0,0,
813828,CBS CORP,10-K,2011-02-25,2010-12-31,4833.0,DE,DE,1231.0,813828_2010,13714,4888.0,0.0,0.0,0.0,0,5334.7,438.4,26142.6,9820.6,480.0,8985.3,680.2,27.3,1094.2,5973.5,562.3,724.2,725.4,12.6,0.0,4025.5,16322.0,724.2,5104.7,0.0,-29933.5,3248.1,14059.8,6.8,0.0,462.7,528.8,19.05,0.00885799,0.038938246,0.013102443,-0.013543083,0.878581319,0.065887767,-0.036133906,0.01886242,1.0,0.757890415,0.980042967,-1.14500853,0.065628514,-0.020194107,0,0,
813920,CEC ENTERTAINMENT INC,10-K,2011-02-24,2011-01-02,5812.0,KS,KS,102.0,813920_2011,15092,5812.0,0.0,0.0,0.0,0,80.681,32.857,772.471,124.177,18.673,477.794,18.145,0.834,12.6,399.675,81.56,54.962,18.659,0.0,0.0,83.688,648.294,54.962,1256.679,0.0,800.946,24.253,821.178,0.632,0.0,34.142,8.875,34.45,-0.001021606,-0.042939697,-0.010298613,0.000224444,0.091146464,0.021082653,0.082345338,-9.4343e-05,1.0,0.198652925,0.99059542,0.78457252,0.126838419,0.04413673,0,0,
814250,LADISH CO INC,10-K,2011-03-09,2010-12-31,3460.0,WI,WI,1231.0,814250_2010,66300,3724.0,0.0,0.0,0.0,0,213.34,27.317,485.568,251.921,23.335,339.78,15.708,15.714,0.0,68.571,16.367,25.375,100.693,0.0,0.0,63.655,233.091,25.375,375.948,0.0,101.651,82.364,403.132,0.047,0.0,16.209,5.656,48.62,0.039267833,0.048033572,0.048125711,0.016744112,0.549006524,0.029873511,0.653883935,0.040687106,1.0,0.329859142,0.960130443,0.20934452,0.097288124,-0.007657981,0,0,
